Grupo,Archivo,N_latidos,Std_señal,r_absoluto,SampEn,SampEn_norm
Sleep,sleep1,864,50.45304961439876,10.090609922879752,1.7258100842063469,1.7258100842063469
Sleep,sleep2,906,42.14955452466354,8.42991090493271,1.8448300126749613,1.8448300126749613
Sleep,sleep3,841,42.95687037616388,8.591374075232777,1.9055203569454964,1.9055203569454964
Sleep,sleep4,963,41.760751267438856,8.352150253487771,1.7705938748497672,1.7705938748497672
Sleep,sleep5,661,69.49181091690045,13.89836218338009,1.601030576598127,1.601030576598127
Sleep,sleep6,830,95.69613959849315,19.13922791969863,1.660916973087839,1.660916973087839
Sleep,sleep7,1266,23.818048618555157,4.763609723711031,1.5850200712509133,1.5850200712509133
Sleep,sleep8,899,33.59318139409978,6.7186362788199565,1.6813107400736014,1.6813107400736014
TaiChi,taichi1,4034,94.74557891606757,18.949115783213514,1.0545023748083304,1.0545023748083304
TaiChi,taichi2,3599,53.23581409869308,10.647162819738618,1.0603347576119908,1.0603347576119908
TaiChi,taichi3,3767,78.94814140142415,15.78962828028483,1.4561713201675262,1.4561713201675262
TaiChi,taichi4,3150,89.04811379824643,17.809622759649287,0.9888702403136889,0.9888702403136889
Yoga,yoga1,1022,63.640151326001224,12.728030265200246,0.7953932551527234,0.7953932551527234
Yoga,yoga2,1127,72.02950777532295,14.405901555064592,0.7980548123100536,0.7980548123100536
Yoga,yoga3,910,89.3063505213871,17.86127010427742,0.7662629518414886,0.7662629518414886
Yoga,yoga4,933,127.91421237814241,25.582842475628482,0.6717083106344697,0.6717083106344697
